,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Weisslingen,0,0,0
0,47621,Weisslingen,12333.994893690582,58629.13810376035,22793.941623156163
0,46692,Weisslingen,12333.994893690582,50438.30831964476,21104.947224554628
0,44014,Weisslingen,0,0,0
0,43310,Weisslingen,12333.994893690582,53163.02186407665,23819.395327445593
0,41774,Weisslingen,7960.113131578444,25079.3240061172,13769.881902140793
0,39468,Weisslingen,0,0,0
0,37317,Weisslingen,7960.113131578444,23803.702250386305,15240.578185052154
0,34386,Weisslingen,12333.994893690582,44589.83124308777,20696.906696647584
0,31981,Weisslingen,13164.610629103452,122537.57434758575,28716.191643040227
0,28745,Weisslingen,0,0,0
0,25872,Weisslingen,7129.076786059937,17972.414481740016,11647.753878781146
0,22178,Weisslingen,0,0,0
0,21376,Weisslingen,12333.994893690582,56365.700769618765,22175.883396810248
0,21288,Weisslingen,13421.30378570751,131047.64792056517,26916.960668672487
0,20119,Weisslingen,7960.113131578444,31165.370646008247,14009.834491364154
0,19240,Weisslingen,12333.994893690582,56226.435268346475,23079.31565433129
0,18557,Weisslingen,0,0,0
0,16823,Weisslingen,0,0,0
0,16570,Weisslingen,13421.30378570751,121224.46672930344,25420.207530960786
0,16290,Weisslingen,7960.113131578444,31108.528646247658,16449.466246550186
0,16262,Weisslingen,0,0,0
0,15976,Weisslingen,0,0,0
0,15680,Weisslingen,0,0,0
0,12771,Weisslingen,13421.30378570751,107215.91967186796,25848.466677629054
0,11714,Weisslingen,0,0,0
0,7538,Weisslingen,7960.113131578444,28932.446711022745,14500.648530806737
0,3583,Weisslingen,13164.610629103452,111085.77258808925,28424.6367881716
0,2344,Weisslingen,0,0,0
0,1000,Weisslingen,0,0,0
